年,月,日,レースID,曜日,競馬場,発送時刻30分前,発送時刻10分前,発送時刻5分前,発送時刻
2025,06,22,20250622_0_01,1,0,580,600,605,610
2025,06,22,20250622_0_02,1,0,615,635,640,645
2025,06,22,20250622_0_03,1,0,645,665,670,675
2025,06,22,20250622_0_04,1,0,675,695,700,705
2025,06,22,20250622_0_05,1,0,725,745,750,755
2025,06,22,20250622_0_06,1,0,755,775,780,785
2025,06,22,20250622_0_07,1,0,785,805,810,815
2025,06,22,20250622_0_08,1,0,815,835,840,845
2025,06,22,20250622_0_09,1,0,845,865,870,875
2025,06,22,20250622_0_10,1,0,880,900,905,910
2025,06,22,20250622_0_11,1,0,915,935,940,945
2025,06,22,20250622_0_12,1,0,960,980,985,990
2025,06,22,20250622_2_01,1,2,571,591,596,601
2025,06,22,20250622_2_02,1,2,605,625,630,635
2025,06,22,20250622_2_03,1,2,635,655,660,665
2025,06,22,20250622_2_04,1,2,665,685,690,695
2025,06,22,20250622_2_05,1,2,715,735,740,745
2025,06,22,20250622_2_06,1,2,745,765,770,775
2025,06,22,20250622_2_07,1,2,775,795,800,805
2025,06,22,20250622_2_08,1,2,805,825,830,835
2025,06,22,20250622_2_09,1,2,835,855,860,865
2025,06,22,20250622_2_10,1,2,871,891,896,901
2025,06,22,20250622_2_11,1,2,905,925,930,935
2025,06,22,20250622_2_12,1,2,945,965,970,975
2025,06,22,20250622_5_01,1,5,560,580,585,590
2025,06,22,20250622_5_02,1,5,595,615,620,625
2025,06,22,20250622_5_03,1,5,625,645,650,655
2025,06,22,20250622_5_04,1,5,655,675,680,685
2025,06,22,20250622_5_05,1,5,705,725,730,735
2025,06,22,20250622_5_06,1,5,735,755,760,765
2025,06,22,20250622_5_07,1,5,765,785,790,795
2025,06,22,20250622_5_08,1,5,795,815,820,825
2025,06,22,20250622_5_09,1,5,825,845,850,855
2025,06,22,20250622_5_10,1,5,860,880,885,890
2025,06,22,20250622_5_11,1,5,895,915,920,925
2025,06,22,20250622_5_12,1,5,935,955,960,965
