年,月,日,曜日,回,日目,競馬場,発送時刻30分前,発送時刻10分前,発送時刻5分前,発送時刻,レースID
2025,07,05,0,02,03,03,580,600,605,610,202503020301
2025,07,05,0,02,03,03,615,635,640,645,202503020302
2025,07,05,0,02,03,03,645,665,670,675,202503020303
2025,07,05,0,02,03,03,675,695,700,705,202503020304
2025,07,05,0,02,03,03,725,745,750,755,202503020305
2025,07,05,0,02,03,03,755,775,780,785,202503020306
2025,07,05,0,02,03,03,785,805,810,815,202503020307
2025,07,05,0,02,03,03,815,835,840,845,202503020308
2025,07,05,0,02,03,03,845,865,870,875,202503020309
2025,07,05,0,02,03,03,880,900,905,910,202503020310
2025,07,05,0,02,03,03,915,935,940,945,202503020311
2025,07,05,0,02,03,03,960,980,985,990,202503020312
2025,07,05,0,02,03,10,571,591,596,601,202510020301
2025,07,05,0,02,03,10,605,625,630,635,202510020302
2025,07,05,0,02,03,10,635,655,660,665,202510020303
2025,07,05,0,02,03,10,665,685,690,695,202510020304
2025,07,05,0,02,03,10,715,735,740,745,202510020305
2025,07,05,0,02,03,10,745,765,770,775,202510020306
2025,07,05,0,02,03,10,775,795,800,805,202510020307
2025,07,05,0,02,03,10,805,825,830,835,202510020308
2025,07,05,0,02,03,10,835,855,860,865,202510020309
2025,07,05,0,02,03,10,871,891,896,901,202510020310
2025,07,05,0,02,03,10,905,925,930,935,202510020311
2025,07,05,0,02,03,10,945,965,970,975,202510020312
2025,07,05,0,01,07,02,560,580,585,590,202502010701
2025,07,05,0,01,07,02,595,615,620,625,202502010702
2025,07,05,0,01,07,02,625,645,650,655,202502010703
2025,07,05,0,01,07,02,655,675,680,685,202502010704
2025,07,05,0,01,07,02,705,725,730,735,202502010705
2025,07,05,0,01,07,02,735,755,760,765,202502010706
2025,07,05,0,01,07,02,765,785,790,795,202502010707
2025,07,05,0,01,07,02,795,815,820,825,202502010708
2025,07,05,0,01,07,02,825,845,850,855,202502010709
2025,07,05,0,01,07,02,860,880,885,890,202502010710
2025,07,05,0,01,07,02,895,915,920,925,202502010711
2025,07,05,0,01,07,02,935,955,960,965,202502010712
