レースID,ワイド,馬連,三連複,馬番1,馬番2,馬番3,30分前,10分前,5分前,オッズ,最低オッズ,最大オッズ,人気,取得時刻
202502010802,0,1,0,7,10,-1,1,0,0,3.9,-1.0,-1.0,1,1245
202502010802,0,1,0,8,10,-1,1,0,0,4.3,-1.0,-1.0,2,1245
202502010802,0,1,0,7,8,-1,1,0,0,6.6,-1.0,-1.0,3,1245
202502010802,0,1,0,1,7,-1,1,0,0,16.8,-1.0,-1.0,4,1245
202502010802,0,1,0,1,10,-1,1,0,0,19.6,-1.0,-1.0,5,1245
202502010802,0,1,0,4,10,-1,1,0,0,25.7,-1.0,-1.0,6,1245
202502010802,0,1,0,1,8,-1,1,0,0,25.7,-1.0,-1.0,7,1245
202502010802,0,1,0,5,10,-1,1,0,0,30.0,-1.0,-1.0,8,1245
202502010802,0,1,0,10,11,-1,1,0,0,30.9,-1.0,-1.0,9,1245
202502010802,0,1,0,4,7,-1,1,0,0,32.2,-1.0,-1.0,10,1245
202502010802,0,1,0,5,8,-1,1,0,0,32.9,-1.0,-1.0,11,1245
202502010802,0,1,0,7,11,-1,1,0,0,34.0,-1.0,-1.0,12,1245
202502010802,0,1,0,5,7,-1,1,0,0,35.7,-1.0,-1.0,13,1245
202502010802,0,1,0,8,11,-1,1,0,0,43.9,-1.0,-1.0,14,1245
202502010802,0,1,0,2,7,-1,1,0,0,46.8,-1.0,-1.0,15,1245
202502010802,0,1,0,6,7,-1,1,0,0,49.0,-1.0,-1.0,16,1245
202502010802,0,1,0,2,10,-1,1,0,0,50.6,-1.0,-1.0,17,1245
202502010802,0,1,0,4,8,-1,1,0,0,51.0,-1.0,-1.0,18,1245
202502010802,0,1,0,6,10,-1,1,0,0,63.8,-1.0,-1.0,19,1245
202502010802,0,1,0,2,8,-1,1,0,0,73.8,-1.0,-1.0,20,1245
202502010802,0,1,0,6,8,-1,1,0,0,91.4,-1.0,-1.0,21,1245
202502010802,0,1,0,10,12,-1,1,0,0,99.9,-1.0,-1.0,22,1245
202502010802,0,1,0,1,5,-1,1,0,0,115.2,-1.0,-1.0,23,1245
202502010802,0,1,0,1,11,-1,1,0,0,129.6,-1.0,-1.0,24,1245
202502010802,0,1,0,1,4,-1,1,0,0,133.4,-1.0,-1.0,25,1245
202502010802,0,1,0,8,12,-1,1,0,0,137.4,-1.0,-1.0,26,1245
202502010802,0,1,0,7,12,-1,1,0,0,141.3,-1.0,-1.0,27,1245
202502010802,0,1,0,4,5,-1,1,0,0,163.9,-1.0,-1.0,28,1245
202502010802,0,1,0,5,11,-1,1,0,0,177.5,-1.0,-1.0,29,1245
202502010802,0,1,0,1,2,-1,1,0,0,184.2,-1.0,-1.0,30,1245
