レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202502010802,1,0,0,10,2.1,1.1,1.4,1,1245
202502010802,1,0,0,7,3.2,1.2,1.8,2,1245
202502010802,1,0,0,8,4.2,1.3,2.0,3,1245
202502010802,1,0,0,1,15.3,2.2,3.9,4,1245
202502010802,1,0,0,4,24.6,2.9,5.2,5,1245
202502010802,1,0,0,11,25.3,3.4,6.2,6,1245
202502010802,1,0,0,5,28.9,2.7,4.9,7,1245
202502010802,1,0,0,2,44.4,5.2,9.8,8,1245
202502010802,1,0,0,6,51.4,5.6,10.5,9,1245
202502010802,1,0,0,12,78.2,6.9,13.2,10,1245
202502010802,1,0,0,9,157.7,17.4,33.5,11,1245
202502010802,1,0,0,3,184.1,21.6,41.7,12,1245
