レースID,ワイド,馬連,三連複,馬番1,馬番2,馬番3,30分前,10分前,5分前,オッズ,最低オッズ,最大オッズ,人気,取得時刻
202502010802,1,0,0,7,10,-1,1,0,0,-1,1.7,2.1,1,1259
202502010802,1,0,0,8,10,-1,1,0,0,-1,1.8,2.3,2,1259
202502010802,1,0,0,7,8,-1,1,0,0,-1,2.3,3.1,3,1259
202502010802,1,0,0,1,7,-1,1,0,0,-1,5.8,7.0,4,1259
202502010802,1,0,0,1,10,-1,1,0,0,-1,6.1,7.5,5,1259
202502010802,1,0,0,4,10,-1,1,0,0,-1,6.5,7.8,6,1259
202502010802,1,0,0,5,8,-1,1,0,0,-1,7.1,8.5,7,1259
202502010802,1,0,0,1,8,-1,1,0,0,-1,7.3,8.8,8,1259
202502010802,1,0,0,5,10,-1,1,0,0,-1,7.4,8.9,9,1259
202502010802,1,0,0,4,7,-1,1,0,0,-1,7.7,9.3,10,1259
202502010802,1,0,0,10,11,-1,1,0,0,-1,8.0,9.5,11,1259
202502010802,1,0,0,5,7,-1,1,0,0,-1,8.3,10.0,12,1259
202502010802,1,0,0,7,11,-1,1,0,0,-1,9.6,11.6,13,1259
202502010802,1,0,0,8,11,-1,1,0,0,-1,10.6,12.6,14,1259
202502010802,1,0,0,4,8,-1,1,0,0,-1,10.9,13.1,15,1259
202502010802,1,0,0,6,7,-1,1,0,0,-1,11.8,14.1,16,1259
202502010802,1,0,0,2,7,-1,1,0,0,-1,13.7,16.3,17,1259
202502010802,1,0,0,2,10,-1,1,0,0,-1,14.6,17.4,18,1259
202502010802,1,0,0,6,10,-1,1,0,0,-1,15.8,18.9,19,1259
202502010802,1,0,0,2,8,-1,1,0,0,-1,17.8,21.0,20,1259
202502010802,1,0,0,6,8,-1,1,0,0,-1,20.2,23.8,21,1259
202502010802,1,0,0,10,12,-1,1,0,0,-1,20.7,24.5,22,1259
202502010802,1,0,0,1,5,-1,1,0,0,-1,24.5,26.2,23,1259
202502010802,1,0,0,8,12,-1,1,0,0,-1,25.4,29.8,24,1259
202502010802,1,0,0,1,4,-1,1,0,0,-1,26.7,28.6,25,1259
202502010802,1,0,0,7,12,-1,1,0,0,-1,26.9,32.1,26,1259
202502010802,1,0,0,4,5,-1,1,0,0,-1,28.0,29.8,27,1259
202502010802,1,0,0,1,11,-1,1,0,0,-1,28.1,29.9,28,1259
202502010802,1,0,0,5,11,-1,1,0,0,-1,36.6,38.8,29,1259
202502010802,1,0,0,4,11,-1,1,0,0,-1,37.7,40.1,30,1259
