レースID,新馬,未勝利,1勝クラス,2勝クラス,3勝クラス,オープン,G1,G2,G3,L,OP,JG1,JG2,JG3,芝,ダート,障害,距離,札幌競馬場,函館競馬場,福島競馬場,新潟競馬場,中山競馬場,東京競馬場,中京競馬場,京都競馬場,阪神競馬場,小倉競馬場,右,左,その他,A,B,C,D,外,内,2周,晴,曇,小雨,雨,小雪,雪,天候:その他,良,稍,重,不,3歳,2歳,3歳以上,4歳以上,牝馬限定戦,馬齢,定量,別定,ハンデ,頭数,枠番,馬番,馬名,馬ID,牡馬,牝馬,騙馬,馬齢,斤量,騎手,騎手ID,美浦,栗東,海外,調教師,調教師ID,馬体重,増減
202505021011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2400,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,18,1,1,アルマヴェローチェ,-10,0,1,0,3,55.0,岩田望,-10,0,1,0,上村,-10,490,-6
202505021011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2400,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,18,1,2,レーヴドロペラ,-10,0,1,0,3,55.0,大野,-10,1,0,0,加藤士,-10,450,4
202505021011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2400,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,18,2,3,パラディレーヌ,-10,0,1,0,3,55.0,丹内,-10,0,1,0,千田,-10,498,0
202505021011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2400,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,18,2,4,アイサンサン,-10,0,1,0,3,55.0,北村宏,-10,0,1,0,佐々木,-10,448,2
202505021011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2400,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,18,3,5,リンクスティップ,-10,0,1,0,3,55.0,Ｍデムーロ,-10,0,1,0,西村,-10,472,0
202505021011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2400,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,18,3,6,ビップデイジー,-10,0,1,0,3,55.0,幸,-10,0,1,0,松下,-10,438,-2
202505021011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2400,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,18,4,7,レーゼドラマ,-10,0,1,0,3,55.0,坂井,-10,0,1,0,辻野,-10,460,-4
202505021011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2400,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,18,4,8,サタデーサンライズ,-10,0,1,0,3,55.0,田辺,-10,0,1,0,石坂,-10,442,2
202505021011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2400,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,18,5,9,エンブロイダリー,-10,0,1,0,3,55.0,ルメール,-10,1,0,0,森一,-10,482,0
202505021011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2400,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,1,0,0,0,18,5,10,タイセイプランセス,-10,0,1,0,3,55.0,石橋脩,-10,1,0,0,池上,-10,400,-6
