レースID,年,月,日,土曜日,日曜日,その他,新馬,未勝利,1勝クラス,2勝クラス,3勝クラス,オープン,G1,G2,G3,L,OP,JG1,JG2,JG3,芝,ダート,障害,距離,札幌競馬場,函館競馬場,福島競馬場,新潟競馬場,中山競馬場,東京競馬場,中京競馬場,京都競馬場,阪神競馬場,小倉競馬場,右,左,その他,A,B,C,D,外,内,2周,晴,曇,小雨,雨,小雪,雪,天候:その他,良,稍,重,不,3歳,2歳,3歳以上,4歳以上,牝馬限定戦,馬齢,定量,別定,ハンデ,頭数,枠番,馬番,馬名,馬ID,牡馬,牝馬,騙馬,馬齢,斤量,騎手,騎手ID,美浦,栗東,海外,調教師,調教師ID,馬体重,増減
202502011009,2025,07,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,1,1,リリーブライト,-10,1,0,0,7,54.0,荻野琢,-10,1,0,0,西田,-10,474,-2
202502011009,2025,07,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,2,2,ヒロノゴウカイ,-10,1,0,0,6,53.0,菅原隆,-10,1,0,0,蛯名利,-10,496,-6
202502011009,2025,07,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,3,3,ミッキージュエリー,-10,0,1,0,3,52.0,丹内,-10,0,1,0,中内田,-10,500,10
202502011009,2025,07,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,4,4,リッチブラック,-10,1,0,0,6,56.0,藤岡佑,-10,0,1,0,西村,-10,468,-2
202502011009,2025,07,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,5,5,ジルバーン,-10,1,0,0,6,55.0,松岡,-10,0,1,0,緒方,-10,442,2
202502011009,2025,07,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,5,6,アルゲンテウス,-10,0,0,1,6,55.0,武豊,-10,1,0,0,小島,-10,468,2
202502011009,2025,07,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,6,7,タイキラフター,-10,1,0,0,5,57.0,佐々木,-10,1,0,0,大竹,-10,526,-8
202502011009,2025,07,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,6,8,ウインアクトゥール,-10,1,0,0,4,57.0,横山武,-10,1,0,0,栗田,-10,444,2
202502011009,2025,07,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,7,9,マイネルフォルツァ,-10,1,0,0,5,56.0,斎藤,-10,1,0,0,金成,-10,518,4
202502011009,2025,07,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,8,11,マルカオペラ,-10,0,1,0,4,54.0,浜中,-10,0,1,0,浜田,-10,480,0
202502011009,2025,07,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1800,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,12,8,12,デルマグレムリン,-10,1,0,0,6,54.0,川又,-10,0,1,0,緒方,-10,462,0
