レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202503020602,1,0,0,9,2.7,1.2,1.5,1,1158
202503020602,1,0,0,2,4.0,1.5,2.4,2,1158
202503020602,1,0,0,4,6.0,1.4,1.9,3,1158
202503020602,1,0,0,6,7.6,2.1,3.3,4,1158
202503020602,1,0,0,11,8.0,1.8,2.8,5,1158
202503020602,1,0,0,7,13.6,2.7,4.4,6,1158
202503020602,1,0,0,14,23.4,4.7,7.9,7,1158
202503020602,1,0,0,15,32.6,4.4,7.4,8,1158
202503020602,1,0,0,12,42.5,6.5,11.1,9,1158
202503020602,1,0,0,8,60.7,11.0,19.1,10,1158
202503020602,1,0,0,10,71.6,12.4,21.6,11,1158
202503020602,1,0,0,5,200.0,27.8,48.8,12,1158
202503020602,1,0,0,3,204.9,20.6,36.1,13,1158
202503020602,1,0,0,1,325.6,45.6,80.2,14,1158
202503020602,1,0,0,13,454.6,61.3,107.8,15,1158
