レースID,年,月,日,土曜日,日曜日,その他,新馬,未勝利,1勝クラス,2勝クラス,3勝クラス,オープン,G1,G2,G3,L,OP,JG1,JG2,JG3,芝,ダート,障害,距離,札幌競馬場,函館競馬場,福島競馬場,新潟競馬場,中山競馬場,東京競馬場,中京競馬場,京都競馬場,阪神競馬場,小倉競馬場,右,左,その他,A,B,C,D,外,内,2周,晴,曇,小雨,雨,小雪,雪,天候:その他,良,稍,重,不,3歳,2歳,3歳以上,4歳以上,牝馬限定戦,馬齢,定量,別定,ハンデ,頭数,枠番,馬番,馬名,馬ID,牡馬,牝馬,騙馬,馬齢,斤量,騎手,騎手ID,美浦,栗東,海外,調教師,調教師ID,馬体重,増減,単勝オッズ,最低複勝オッズ,最高複勝オッズ,単勝人気,オッズ取得時刻
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,1,1,エイチエヌハーモニ,-10,1,0,0,3,54.0,佐藤,-10,1,0,0,蛯名利,-10,504,4,325.6,45.6,80.2,14,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,2,2,ジュンビクトワール,-10,1,0,0,3,57.0,荻野極,-10,1,0,0,中舘,-10,516,18,4.0,1.5,2.4,2,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,2,3,キョウエイセレッソ,-10,0,1,0,3,52.0,遠藤,-10,1,0,0,中川,-10,428,-12,204.9,20.6,36.1,13,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,3,4,ヤマニンエボルブ,-10,1,0,0,3,57.0,伊藤,-10,1,0,0,千葉,-10,458,-2,6.0,1.4,1.9,3,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,3,5,ベルフォン,-10,0,1,0,3,55.0,原,-10,1,0,0,小手川,-10,414,0,200.0,27.8,48.8,12,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,4,6,チェインズモーカー,-10,1,0,0,3,54.0,石神道,-10,1,0,0,森一,-10,510,2,7.6,2.1,3.3,4,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,4,7,ベネスピラ,-10,1,0,0,3,57.0,三浦,-10,1,0,0,鹿戸,-10,450,0,13.6,2.7,4.4,6,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,5,8,レジョンデロル,-10,1,0,0,3,57.0,津村,-10,1,0,0,加藤征,-10,424,8,60.7,11.0,19.1,10,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,5,9,ヴィジブルライト,-10,1,0,0,3,57.0,戸崎圭,-10,1,0,0,和田郎,-10,486,2,2.7,1.2,1.5,1,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,6,10,ファリードゥーン,-10,1,0,0,3,57.0,菅原明,-10,1,0,0,高木,-10,518,10,71.6,12.4,21.6,11,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,6,11,ブラザービート,-10,1,0,0,3,57.0,内田博,-10,1,0,0,奥村武,-10,532,0,8.0,1.8,2.8,5,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,7,12,キタノショウリュウ,-10,1,0,0,3,57.0,野中,-10,1,0,0,伊藤伸,-10,470,-12,42.5,6.5,11.1,9,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,7,13,サバイバルダッシュ,-10,1,0,0,3,57.0,柴田大,-10,1,0,0,和田雄,-10,476,0,454.6,61.3,107.8,15,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,8,14,ウインマグノリア,-10,1,0,0,3,57.0,菊沢,-10,1,0,0,千葉,-10,458,6,23.4,4.7,7.9,7,
202503020602,2025,07,18,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1,8,15,スカイリスト,-10,0,1,0,3,55.0,吉田豊,-10,1,0,0,小野,-10,450,-14,32.6,4.4,7.4,8,
