年,月,日,曜日,回,日目,競馬場,発送時刻30分前,発送時刻10分前,発送時刻5分前,発送時刻,レースID
2025,07,06,1,02,04,03,580,600,605,610,202503020401
2025,07,06,1,02,04,03,615,635,640,645,202503020402
2025,07,06,1,02,04,03,645,665,670,675,202503020403
2025,07,06,1,02,04,03,675,695,700,705,202503020404
2025,07,06,1,02,04,03,725,745,750,755,202503020405
2025,07,06,1,02,04,03,755,775,780,785,202503020406
2025,07,06,1,02,04,03,785,805,810,815,202503020407
2025,07,06,1,02,04,03,815,835,840,845,202503020408
2025,07,06,1,02,04,03,845,865,870,875,202503020409
2025,07,06,1,02,04,03,880,900,905,910,202503020410
2025,07,06,1,02,04,03,915,935,940,945,202503020411
2025,07,06,1,02,04,03,960,980,985,990,202503020412
2025,07,06,1,02,04,10,571,591,596,601,202510020401
2025,07,06,1,02,04,10,605,625,630,635,202510020402
2025,07,06,1,02,04,10,635,655,660,665,202510020403
2025,07,06,1,02,04,10,665,685,690,695,202510020404
2025,07,06,1,02,04,10,715,735,740,745,202510020405
2025,07,06,1,02,04,10,745,765,770,775,202510020406
2025,07,06,1,02,04,10,775,795,800,805,202510020407
2025,07,06,1,02,04,10,805,825,830,835,202510020408
2025,07,06,1,02,04,10,835,855,860,865,202510020409
2025,07,06,1,02,04,10,871,891,896,901,202510020410
2025,07,06,1,02,04,10,905,925,930,935,202510020411
2025,07,06,1,02,04,10,945,965,970,975,202510020412
2025,07,06,1,01,08,02,560,580,585,590,202502010801
2025,07,06,1,01,08,02,595,615,620,625,202502010802
2025,07,06,1,01,08,02,625,645,650,655,202502010803
2025,07,06,1,01,08,02,655,675,680,685,202502010804
2025,07,06,1,01,08,02,705,725,730,735,202502010805
2025,07,06,1,01,08,02,735,755,760,765,202502010806
2025,07,06,1,01,08,02,765,785,790,795,202502010807
2025,07,06,1,01,08,02,795,815,820,825,202502010808
2025,07,06,1,01,08,02,825,845,850,855,202502010809
2025,07,06,1,01,08,02,860,880,885,890,202502010810
2025,07,06,1,01,08,02,895,915,920,925,202502010811
2025,07,06,1,01,08,02,935,955,960,965,202502010812
